Timestamp,Distance [cm]
15:21:13.473,75.72
15:21:14.505,74.36
15:21:15.530,18.8
15:21:16.556,32.27
15:21:17.556,13.75
15:21:18.604,9.52
15:21:19.610,14.6
15:21:20.661,21.49
15:21:21.650,53.58
15:21:22.702,53.57
15:21:23.710,71.42
15:21:24.762,24.12
15:21:25.758,19.41
15:21:26.807,16.73
15:21:27.797,24.85
15:21:28.855,52.72
15:21:29.867,52.73
15:21:30.907,23.77
15:21:31.901,16.35
15:21:32.952,24.51
15:21:33.951,73.22
15:21:34.986,53.14
15:21:36.012,67.42
15:21:37.046,20.28
15:21:38.061,20.18
15:21:39.110,27.15
15:21:40.112,52.72
15:21:41.148,26.4
15:21:42.144,18.9
15:21:43.200,26.15
15:21:44.197,53.53
15:21:45.248,53.11
15:21:46.242,53.43
15:21:47.310,22.63
15:21:48.310,19.81
15:21:49.347,25.72
15:21:50.340,53.96
15:21:51.399,24.06
15:21:52.410,14.14
15:21:53.451,21.57
15:21:54.443,52.31
15:21:55.488,63.22
15:21:56.494,74.77
15:21:57.544,18.45
15:21:58.542,16.32
15:21:59.602,24.7
15:22:00.596,53.19
15:22:01.640,22.2
15:22:02.643,17.54
15:22:03.688,54.01
15:22:04.694,27.68
15:22:05.722,12.87
15:22:06.738,24.28
15:22:07.775,53.55
15:22:08.785,19.45
15:22:09.841,18.19
15:22:10.838,73.9
